county,state,total,Obama,Romney,winner,voters,turnout,margin
Adams,PA,41973,35.482334,63.112001,Romney,61156,68.632677,27.629667
Allegheny,PA,614671,56.640219,42.18582,Obama,924351,66.497575,14.454399
Armstrong,PA,28322,30.696985,67.901278,Romney,42147,67.19814,37.204293
Beaver,PA,80015,46.032619,52.63763,Romney,115157,69.483401,6.605012
Bedford,PA,21444,22.057452,76.98657,Romney,32189,66.619031,54.929118
Berks,PA,163253,48.939376,49.528646,Romney,250356,65.208343,0.589269
Blair,PA,47631,32.575424,66.133401,Romney,85328,55.821067,33.557977
Bradford,PA,22501,36.847251,61.450602,Romney,40490,55.571746,24.603351
Bucks,PA,319407,49.96697,48.801686,Obama,435606,73.324748,1.165284
Butler,PA,88924,31.920516,66.816607,Romney,122762,72.436096,34.896091
Cambria,PA,57718,40.162514,57.978447,Romney,86988,66.351681,17.815933
Cameron,PA,1967,34.417895,64.260295,Romney,3651,53.875651,29.8424
Carbon,PA,24232,45.559591,52.451304,Romney,39017,62.106261,6.891713
Centre,PA,68801,48.948416,48.977486,Romney,112949,60.913333,0.029069
Chester,PA,248295,49.228539,49.650617,Romney,337822,73.498766,0.422079
Clarion,PA,15227,31.06981,67.170158,Romney,24120,63.130182,36.100348
Clearfield,PA,31894,34.780837,63.657741,Romney,51174,62.324618,28.876905
Clinton,PA,12663,43.457317,54.813235,Romney,22969,55.130829,11.355919
Columbia,PA,24305,42.888295,55.317836,Romney,39888,60.933113,12.429541
Crawford,PA,33089,39.360513,58.922905,Romney,54711,60.479611,19.562392
Cumberland,PA,109964,39.997636,58.532793,Romney,158194,69.512118,18.535157
Dauphin,PA,122625,52.36208,46.35107,Obama,178924,68.534685,6.011009
Delaware,PA,272853,60.400655,38.581214,Obama,397338,68.670251,21.819441
Elk,PA,12425,41.400402,57.134809,Romney,20302,61.200867,15.734406
Erie,PA,112732,57.779512,40.895221,Obama,176851,63.744056,16.884292
Fayette,PA,48196,45.317039,53.624782,Romney,91681,52.569235,8.307743
Forest,PA,2308,38.734835,59.835355,Romney,3232,71.410891,21.10052
Franklin,PA,62802,30.110506,68.583803,Romney,87406,71.850903,38.473297
Fulton,PA,6148,21.096291,77.748861,Romney,9344,65.796233,56.65257
Greene,PA,13726,40.536209,58.174268,Romney,22663,60.56568,17.638059
Huntingdon,PA,17587,30.607835,67.964974,Romney,28824,61.015126,37.357139
Indiana,PA,36180,39.809287,58.559978,Romney,57378,63.055527,18.750691
Jefferson,PA,17072,26.563964,71.977507,Romney,28549,59.798942,45.413543
Juniata,PA,9480,26.719409,71.951477,Romney,13547,69.978593,45.232068
Lackawanna,PA,97116,63.129659,35.761358,Obama,149474,64.971835,27.368302
Lancaster,PA,219677,39.652763,58.888277,Romney,314567,69.834725,19.235514
Lawrence,PA,38816,44.896434,53.88242,Romney,61709,62.901684,8.985985
Lebanon,PA,53771,35.288538,63.249707,Romney,81476,65.996122,27.961169
Lehigh,PA,144922,53.15204,45.604532,Obama,226453,63.996503,7.547508
Luzerne,PA,123741,51.699922,46.847043,Obama,194137,63.739009,4.852878
Lycoming,PA,46214,32.682737,65.975678,Romney,68064,67.897861,33.292942
McKean,PA,15014,35.033968,63.234315,Romney,25861,58.056533,28.200346
Mercer,PA,48065,48.02247,50.56486,Romney,75238,63.883942,2.542391
Mifflin,PA,16311,26.111213,72.913984,Romney,24445,66.725302,46.802771
Monroe,PA,59312,56.364648,42.318586,Obama,108879,54.475151,14.046062
Montgomery,PA,401787,56.637223,42.286834,Obama,551105,72.905708,14.35039
Montour,PA,7787,38.859638,59.535123,Romney,13518,57.604675,20.675485
Northampton,PA,125883,51.64637,47.06116,Obama,209414,60.112027,4.58521
Northumberland,PA,31512,39.324702,58.758568,Romney,54978,57.317472,19.433866
Perry,PA,18240,29.769737,68.591009,Romney,27245,66.948064,38.821272
Philadelphia,PA,653598,85.224251,14.051451,Obama,1099197,59.461407,71.1728
Pike,PA,23164,43.904334,54.882576,Romney,41840,55.363289,10.978242
Potter,PA,7205,26.259542,72.158223,Romney,10913,66.022175,45.898681
Schuylkill,PA,57505,42.523259,55.918616,Romney,86316,66.621484,13.395357
Snyder,PA,14962,31.225772,67.170164,Romney,21573,69.355213,35.944392
Somerset,PA,33875,27.808118,70.656827,Romney,51860,65.320093,42.848708
Sullivan,PA,2934,35.037491,63.3606,Romney,4242,69.165488,28.323108
Susquehanna,PA,17930,38.432794,59.871723,Romney,26163,68.531896,21.438929
Tioga,PA,15943,31.69416,66.480587,Romney,26001,61.316872,34.786427
Union,PA,16187,37.455983,60.931612,Romney,23950,67.586639,23.475629
Venango,PA,20775,35.951865,62.22864,Romney,32773,63.390596,26.276775
Warren,PA,16462,41.112866,57.192322,Romney,29111,56.549071,16.079456
Washington,PA,90078,42.744066,56.012567,Romney,142331,63.287689,13.268501
Wayne,PA,20966,38.815225,59.768196,Romney,32577,64.35829,20.952971
Westmoreland,PA,168709,37.567646,61.306154,Romney,238006,70.884347,23.738508
Wyoming,PA,11214,42.910647,55.189941,Romney,17255,64.989858,12.279294
York,PA,186394,38.695452,59.860296,Romney,280280,66.502783,21.164844
